Phenotype,Network_score
Adenocarcinoma,0.7363427937759109
Glioma,0.45618317854650303
Renal Cell Carcinoma,0.4318211381534952
leukemia,0.41912462308097187
Renal carcinoma,0.4026086329617336
melanoma,0.3978556004218054
Skin Neoplasms,0.38961431022305837
Kidney Neoplasm,0.3851658894688127
Astrocytoma,0.3700018617667741
Muscular Dystrophy,0.3659525187615199
Malignant neoplasm of brain,0.36129352656812896
Mammary Neoplasms,0.352349978526605
Malignant neoplasm of breast,0.3482703430964914
Breast Carcinoma,0.348062332717774
Myeloid Leukemia,0.31645635405937955
Glioblastoma,0.30737023593425433
Nevi and Melanomas,0.29724708194444716
Neuroendocrine Tumors,0.2968796844119004
Sarcoma,0.2906967801725415
Acute leukemia,0.2861361217584122
Malignant neoplasm of prostate,0.2653926631842114
Prostatic Neoplasms,0.26534966716858277
Lymphoproliferative Disorders,0.2595874614260237
Ductal Carcinoma,0.2519026889556633
Myositis,0.24372099849841888
Lung Neoplasms,0.23760986966065328
Brain Neoplasms,0.2344424843943766
Amyopathic dermatomyositis,0.23399881390977692
"Neoplasms, Ductal, Lobular, and Medullary",0.2332251318662033
Malignant neoplasm of lung,0.22594420614128008
Mutation Abnormality,0.22470999292176932
"Carcinoma, Spindle-Cell",0.22098482471000686
Amyotrophic Lateral Sclerosis,0.21282708641917827
Anterior Horn Cell Disease,0.20293693472910493
Motor Neuron Disease,0.20289879998497565
TDP-43 Proteinopathies,0.20221870897928484
"Muscular Dystrophy, Duchenne",0.19798136315258738
Duchenne and Becker Muscular Dystrophy,0.19798136315258738
"Mammary Carcinoma, Human",0.19338920805352594
"Mammary Neoplasms, Human",0.19338920805352594
Paraproteinemias,0.1838212733800293
Liver carcinoma,0.17901649828106164
Vascular Hemostatic Disorders,0.17733019532042982
Plasma Cell Neoplasm,0.17631380401473548
Multiple Myeloma,0.17353394994384558
Inflammatory Bowel Diseases,0.16899542593110164
"Carcinoma, Large Cell",0.16404317117728257
Squamous cell carcinoma,0.16259756378581997
Colitis,0.16220575150252775
Stomach Neoplasms,0.15936184512196985
Malignant neoplasm of stomach,0.15936184512196985
Carcinoma of lung,0.1579158459477086
Plasma cell dyscrasia,0.15678173360984082
Hereditary Diffuse Gastric Cancer,0.14911117916436722
Acute lymphocytic leukemia,0.13701728532699148
Disease Progression,0.1356178906538947
Gastrointestinal Neoplasms,0.1346803146140913
Myeloproliferative disease,0.13312080356687225
"Muscular Dystrophy, Facioscapulohumeral",0.1330421343062098
"Myeloid Leukemia, Chronic",0.13187134150140825
Ulcerative Colitis,0.13121082291690922
Bronchogenic Carcinoma,0.12962058774455304
Malignant neoplasm of ovary,0.12918182002721407
B-Cell Lymphomas,0.12594959589067145
Bladder Neoplasm,0.12511681052014542
Malignant neoplasm of urinary bladder,0.12511681052014542
ovarian neoplasm,0.12478363064451727
"Neoplasms, Connective Tissue",0.1245278536657641
Small cell carcinoma of lung,0.12148542895872243
Ulcer,0.12145626716362488
"Muscular Dystrophy, Emery-Dreifuss",0.11955914232925965
Hematopoietic Neoplasms,0.11890675913458094
Lymphoma,0.11704906285539297
Carcinomatosis,0.11326182654651455
Anaplastic carcinoma,0.11326182654651455
Undifferentiated carcinoma,0.11326182654651455
Carcinoma,0.11326182654651455
"Neoplasms, Complex and Mixed",0.11170755276495573
Adenocarcinoma of lung (disorder),0.11047462066857174
Neoplasm Metastasis,0.10997381247326454
Carcinosarcoma,0.1099044244184761
Malignant neoplasm of gastrointestinal tract,0.10912444908159055
Malignant neoplasm of skin,0.10867166887197656
"Melanoma, Amelanotic",0.10772782714191394
"Neoplasms, Cystic, Mucinous, and Serous",0.10704702537969572
Cystadenocarcinoma,0.10704702537969572
Precursor B-cell lymphoblastic leukemia,0.10576372522278871
Digestive System Neoplasms,0.10514185004013822
Obesity,0.10491908340396579
Colorectal Carcinoma,0.1026744972026456
Medulloblastoma,0.1010428858006919
Colorectal Neoplasms,0.10067254578704564
Non-Small Cell Lung Carcinoma,0.09788545560712983
liposarcoma,0.09588651803180474
"Carcinoma, Small Cell",0.09423786197616676
malignant neurologic neoplasms,0.09369139608971727
"Liposarcoma, Myxoid",0.09219567387115281
Benign Neoplasm,0.08944728760188915
Colonic Neoplasms,0.08827656253749279
"Lymphoma, Non-Hodgkin",0.08810675974178923
Malignant tumor of colon,0.08810482752315635
Chronic Lymphocytic Leukemia,0.0874125623409619
Neoplasm Invasiveness,0.08739130324188318
Malignant neoplasm of bronchus,0.08712661830126754
Bronchial Neoplasms,0.08712661830126754
"Adenocarcinoma, Oxyphilic",0.08695606004165901
synovial sarcoma,0.0869146581725926
"Carcinoma, Cribriform",0.08681776992399588
"Carcinoma, Granular Cell",0.08681776992399588
"Adenocarcinoma, Basal Cell",0.08681776992399588
"Adenocarcinoma, Tubular",0.08681776992399588
"Leukemia, Myelocytic, Acute",0.08617637102606042
Diffuse Large B-Cell Lymphoma,0.08564112058071283
"Mammary Neoplasms, Experimental",0.084828539348014
"Neuroectodermal Tumor, Primitive",0.08372167183902161
Lymphoid leukemia,0.08351221592498806
Dementia,0.08351073186328799
"Mammary Carcinoma, Animal",0.08301993350064245
Animal Mammary Neoplasms,0.08301993350064245
Dermatitis,0.08235610716807437
Conventional (Clear Cell) Renal Cell Carcinoma,0.08072657815425414
Drug-Induced Liver Disease,0.08046735453375768
Chemical and Drug Induced Liver Injury,0.07956185498219785
Chemically-Induced Liver Toxicity,0.07956185498219785
"Hepatitis, Toxic",0.07956185498219785
Drug-Induced Acute Liver Injury,0.07956185498219785
"Hepatitis, Drug-Induced",0.07956185498219785
Uterine Cervical Neoplasm,0.07898095308555726
HIV Infections,0.07890491575142378
"Leukemia, B-Cell",0.07867265431166445
Squamous Cell Neoplasms,0.0785708286311579
Neoplastic Cell Transformation,0.0773563159107168
Insulin Sensitivity,0.07287875773890486
"Neoplasms, Neuroepithelial",0.07189588180883638
Schizophrenia,0.071685599095754
Myocardial Ischemia,0.07160097505032245
Classical Hodgkin's Lymphoma,0.07066814450648842
Endometrioma,0.06871153137977158
Endometriosis,0.06814411575689773
Pancreatic Neoplasm,0.06807120930216869
Malignant neoplasm of pancreas,0.0677407128457599
Burkitt Lymphoma,0.06707847579554664
Cognition Disorders,0.06692491386102883
Insulin Resistance,0.06631669096452195
Hypertensive disease,0.06614750901947661
Esophageal Neoplasms,0.06451738153116078
Epstein-Barr Virus Infections,0.06447331153221438
"Diabetes Mellitus, Non-Insulin-Dependent",0.0643512105355191
Paraplegia,0.062170584589188845
Spastic Paraplegia,0.06205555098180196
Psoriasis,0.06108478954911954
Parkinson Disease,0.05949754093634405
Becker Muscular Dystrophy,0.05917771725468594
"Kidney Failure, Acute",0.058740091907023693
Acute kidney injury,0.058740091907023693
Squamous cell carcinoma of esophagus,0.058667374939502026
Liver neoplasms,0.05829910825813024
Craniofacial Abnormalities,0.05828636255896254
Glioblastoma Multiforme,0.05816184239161144
Head and Neck Neoplasms,0.058000341673906476
Prostate carcinoma,0.05794522095586448
Lipoma,0.057779345411676
Chronic disease,0.057527509756374745
Metastatic Neoplasm,0.05745026595891131
Organic brain syndrome,0.057278159774197056
Malignant neoplasm of liver,0.05707647020795371
Overnutrition,0.05646981866754242
Adult T-Cell Lymphoma/Leukemia,0.05614383354976997
Ovarian Carcinoma,0.05567544307016802
Toxic effect,0.054802264816150865
Crohn Disease,0.05445077304464603
Alzheimer's Disease,0.05434318761278723
Chronic Obstructive Airway Disease,0.05320638528053543
Nevus,0.05316399067296918
Influenza,0.05266531734023043
Lipomatous neoplasm,0.05262971072059925
Giant Cell Glioblastoma,0.052493224676957294
"Liposarcoma, Dedifferentiated",0.052392569122458786
"Cardiomyopathy, Dilated",0.0522234293373038
Parkinsonian Disorders,0.05215971526359168
Male infertility,0.05199659213441456
Malignant Fibrous Histiocytoma,0.05187335972043529
Histiocytoma,0.051592474504846414
Diabetes,0.0512567156374025
"Leukemia, T-Cell",0.05107102909651264
Urologic Neoplasms,0.050949465951289234
Adenoma,0.050465216588030375
Nasopharyngeal carcinoma,0.05012286911973883
"Lung Diseases, Obstructive",0.05008190051071778
Presenile dementia,0.04953396760088807
Ischemic cardiomyopathy,0.04946720392709511
Bronchial Diseases,0.04837859645305663
HIV Coinfection,0.04815546580389593
Diabetes Mellitus,0.048061594841911415
Malignant tumor of cervix,0.0480126330284533
Cervix carcinoma,0.0480126330284533
Orthomyxoviridae Infections,0.04800352262466169
"Alzheimer Disease, Late Onset",0.04792291467556811
Familial Alzheimer Disease (FAD),0.0478376049054807
Acute Confusional Senile Dementia,0.0478376049054807
"Alzheimer's Disease, Focal Onset",0.0478376049054807
"Alzheimer Disease, Early Onset",0.0478376049054807
Malignant neoplasm of uterine adnexa,0.04772039629657592
Malignant neoplasm of esophagus,0.04771171588489318
"Myocardial Diseases, Secondary",0.047439761095303276
Cardiomyopathies,0.047439761095303276
"Cardiomyopathies, Primary",0.047439761095303276
Nasopharyngeal Neoplasms,0.04718938238842544
Pneumonia,0.0470990311141181
Malignant Glioma,0.04655252562076423
Neuroblastoma,0.04638889305283044
Nerve Degeneration,0.0463836300830283
Waldenstrom Macroglobulinemia,0.045996804984443716
Basal Ganglia Diseases,0.04595822153674548
Urinary Bladder Diseases,0.045430136783878305
Autistic Disorder,0.04528072574048297
Huntington Disease,0.04431393464460482
mixed gliomas,0.04406172071163349
"Malignant neoplasm of urinary organ, unspecified",0.0437177618119181
Neoplasm of unspecified nature of bladder,0.0437177618119181
Carcinoma of bladder,0.0437177618119181
Respiratory Tract Infections,0.043511287557055
Chorea,0.0431434895169816
